name_a,name_b,cipher,kamea,overall_resonance,node_similarity,edge_similarity,node_weight_similarity,edge_weight_similarity,vector_similarity,alignment_similarity,node_overlap_ratio,edge_overlap_ratio,shared_node_count,shared_edge_count,unique_nodes_a,unique_nodes_b,unique_edges_a,unique_edges_b
Antonio Ballester,River Christian Tremblay,ordinal,mercury,0.43821406002706714,0.6,0.12903225806451613,0.43888888888888894,0.12903225806451613,0.9601087329222595,0.37222222222222223,0.6,0.12903225806451613,9,4,1,5,11,16
Antonio Ballester,River Christian Tremblay,ordinal,moon,0.43821406002706714,0.6,0.12903225806451613,0.43888888888888894,0.12903225806451613,0.9601087329222595,0.37222222222222223,0.6,0.12903225806451613,9,4,1,5,11,16
Antonio Ballester,River Christian Tremblay,hebrew_literal,saturn,0.47563609031054715,0.75,0.19230769230769232,0.40625,0.15384615384615385,0.9857876957094363,0.365625,0.75,0.19230769230769232,6,5,1,1,10,11
Antonio Ballester,River Christian Tremblay,hebrew_literal,jupiter,0.578550514073623,0.9,0.17857142857142858,0.6083333333333334,0.16071428571428573,0.9736840368226908,0.65,0.9,0.17857142857142858,9,5,0,1,9,14
Antonio Ballester,River Christian Tremblay,hebrew_literal,mars,0.5241509866441812,0.6666666666666666,0.28,0.48492063492063486,0.23333333333333336,0.9660963960555635,0.5138888888888888,0.6666666666666666,0.28,6,7,0,3,7,11
Antonio Ballester,River Christian Tremblay,hebrew_literal,sun,0.46804224492968477,0.75,0.12903225806451613,0.5097222222222223,0.12903225806451613,0.915466731226854,0.375,0.75,0.12903225806451613,9,4,1,2,11,16
Antonio Ballester,River Christian Tremblay,hebrew_literal,venus,0.50805628211327,0.6666666666666666,0.1724137931034483,0.4513888888888889,0.1724137931034483,0.9691351064727234,0.6163194444444444,0.6666666666666666,0.1724137931034483,8,5,1,3,10,14
Antonio Ballester,River Christian Tremblay,hebrew_literal,mercury,0.511028202237538,0.8333333333333334,0.16666666666666666,0.5791666666666667,0.16666666666666666,0.9279747689807836,0.39236111111111116,0.8333333333333334,0.16666666666666666,10,5,0,2,10,15
Antonio Ballester,River Christian Tremblay,hebrew_literal,moon,0.4461180106302667,0.6428571428571429,0.12903225806451613,0.4642857142857143,0.12903225806451613,0.9484054524144727,0.36309523809523814,0.6428571428571429,0.12903225806451613,9,4,1,4,11,16
Antonio Ballester,River Christian Tremblay,hebrew_phonetic,saturn,0.47563609031054715,0.75,0.19230769230769232,0.40625,0.15384615384615385,0.9857876957094363,0.365625,0.75,0.19230769230769232,6,5,1,1,10,11
Antonio Ballester,River Christian Tremblay,hebrew_phonetic,jupiter,0.578550514073623,0.9,0.17857142857142858,0.6083333333333334,0.16071428571428573,0.9736840368226908,0.65,0.9,0.17857142857142858,9,5,0,1,9,14
Antonio Ballester,River Christian Tremblay,hebrew_phonetic,mars,0.5241509866441812,0.6666666666666666,0.28,0.48492063492063486,0.23333333333333336,0.9660963960555635,0.5138888888888888,0.6666666666666666,0.28,6,7,0,3,7,11
Antonio Ballester,River Christian Tremblay,hebrew_phonetic,sun,0.46804224492968477,0.75,0.12903225806451613,0.5097222222222223,0.12903225806451613,0.915466731226854,0.375,0.75,0.12903225806451613,9,4,1,2,11,16
Antonio Ballester,River Christian Tremblay,hebrew_phonetic,venus,0.50805628211327,0.6666666666666666,0.1724137931034483,0.4513888888888889,0.1724137931034483,0.9691351064727234,0.6163194444444444,0.6666666666666666,0.1724137931034483,8,5,1,3,10,14
Antonio Ballester,River Christian Tremblay,hebrew_phonetic,mercury,0.511028202237538,0.8333333333333334,0.16666666666666666,0.5791666666666667,0.16666666666666666,0.9279747689807836,0.39236111111111116,0.8333333333333334,0.16666666666666666,10,5,0,2,10,15
Antonio Ballester,River Christian Tremblay,hebrew_phonetic,moon,0.4461180106302667,0.6428571428571429,0.12903225806451613,0.4642857142857143,0.12903225806451613,0.9484054524144727,0.36309523809523814,0.6428571428571429,0.12903225806451613,9,4,1,4,11,16
Lance Dean Folks,River Christian Tremblay,ordinal,saturn,0.4222853996500398,0.5555555555555556,0.15384615384615385,0.36111111111111116,0.1346153846153846,0.9744175261053671,0.3541666666666667,0.5555555555555556,0.15384615384615385,5,4,1,3,8,14
Lance Dean Folks,River Christian Tremblay,ordinal,jupiter,0.3988352877947492,0.5384615384615384,0.06666666666666667,0.4230769230769231,0.05,0.9782681370249053,0.33653846153846156,0.5384615384615384,0.06666666666666667,7,2,2,4,10,18
Lance Dean Folks,River Christian Tremblay,ordinal,mars,0.3383923417465086,0.3333333333333333,0.06666666666666667,0.2777777777777778,0.05,0.9900762727012737,0.3125,0.3333333333333333,0.06666666666666667,6,2,4,8,10,18
Lance Dean Folks,River Christian Tremblay,ordinal,sun,0.3383923417465086,0.3333333333333333,0.06666666666666667,0.2777777777777778,0.05,0.9900762727012737,0.3125,0.3333333333333333,0.06666666666666667,6,2,4,8,10,18
Lance Dean Folks,River Christian Tremblay,ordinal,venus,0.3383923417465086,0.3333333333333333,0.06666666666666667,0.2777777777777778,0.05,0.9900762727012737,0.3125,0.3333333333333333,0.06666666666666667,6,2,4,8,10,18
Lance Dean Folks,River Christian Tremblay,ordinal,mercury,0.3383923417465086,0.3333333333333333,0.06666666666666667,0.2777777777777778,0.05,0.9900762727012737,0.3125,0.3333333333333333,0.06666666666666667,6,2,4,8,10,18
