date,asset,long_weight,short_weight,total_weight,net_long_score,strategy_count,active_strategies,ensemble_confidence,consensus_score,breadth_score,confidence_label
2024-09-20,SOL-USD,0.39942212428406393,0.0,0.39942212428406393,0.39942212428406393,4,"['breadth_positive_288_0_5', 'breadth_positive_288_0_66', 'leader_persistence_288_3', 'leader_persistence_288_8']",0.94,1.0,0.8,strong_ensemble_signal
2024-09-20,BTC-USD,0.15344188789566685,0.0,0.15344188789566685,0.15344188789566685,1,['leader_persistence_72_3'],0.76,1.0,0.2,moderate_ensemble_signal
2024-09-21,SOL-USD,0.39942212428406393,0.0,0.39942212428406393,0.39942212428406393,4,"['breadth_positive_288_0_5', 'breadth_positive_288_0_66', 'leader_persistence_288_3', 'leader_persistence_288_8']",0.94,1.0,0.8,strong_ensemble_signal
2024-09-21,BTC-USD,0.37409577905536495,0.0,0.37409577905536495,0.37409577905536495,3,"['breadth_positive_24_0_8', 'breadth_positive_24_1_0', 'leader_persistence_72_3']",0.88,1.0,0.6,strong_ensemble_signal
2024-09-22,BTC-USD,0.5219392708886124,0.0,0.5219392708886124,0.5219392708886124,4,"['breadth_positive_24_0_8', 'breadth_positive_24_1_0', 'leader_persistence_72_3', 'leader_persistence_72_8']",0.94,1.0,0.8,strong_ensemble_signal
2024-09-22,SOL-USD,0.39942212428406393,0.0,0.39942212428406393,0.39942212428406393,4,"['breadth_positive_288_0_5', 'breadth_positive_288_0_66', 'leader_persistence_288_3', 'leader_persistence_288_8']",0.94,1.0,0.8,strong_ensemble_signal
2024-09-23,BTC-USD,0.5219392708886124,0.0,0.5219392708886124,0.5219392708886124,4,"['breadth_positive_24_0_8', 'breadth_positive_24_1_0', 'leader_persistence_72_3', 'leader_persistence_72_8']",0.94,1.0,0.8,strong_ensemble_signal
2024-09-23,SOL-USD,0.39942212428406393,0.0,0.39942212428406393,0.39942212428406393,4,"['breadth_positive_288_0_5', 'breadth_positive_288_0_66', 'leader_persistence_288_3', 'leader_persistence_288_8']",0.94,1.0,0.8,strong_ensemble_signal
2024-09-24,SOL-USD,0.620076015443762,0.0,0.620076015443762,0.620076015443762,6,"['breadth_positive_24_0_8', 'breadth_positive_24_1_0', 'breadth_positive_288_0_5', 'breadth_positive_288_0_66', 'leader_persistence_288_3', 'leader_persistence_288_8']",1.0,1.0,1.0,strong_ensemble_signal
2024-09-24,BTC-USD,0.30128537972891434,0.0,0.30128537972891434,0.30128537972891434,2,"['leader_persistence_72_3', 'leader_persistence_72_8']",0.82,1.0,0.4,moderate_ensemble_signal
2024-09-25,SOL-USD,0.620076015443762,0.0,0.620076015443762,0.620076015443762,6,"['breadth_positive_24_0_8', 'breadth_positive_24_1_0', 'breadth_positive_288_0_5', 'breadth_positive_288_0_66', 'leader_persistence_288_3', 'leader_persistence_288_8']",1.0,1.0,1.0,strong_ensemble_signal
2024-09-25,BTC-USD,0.30128537972891434,0.0,0.30128537972891434,0.30128537972891434,2,"['leader_persistence_72_3', 'leader_persistence_72_8']",0.82,1.0,0.4,moderate_ensemble_signal
2024-09-26,SOL-USD,0.620076015443762,0.0,0.620076015443762,0.620076015443762,6,"['breadth_positive_24_0_8', 'breadth_positive_24_1_0', 'breadth_positive_288_0_5', 'breadth_positive_288_0_66', 'leader_persistence_288_3', 'leader_persistence_288_8']",1.0,1.0,1.0,strong_ensemble_signal
2024-09-26,BTC-USD,0.30128537972891434,0.0,0.30128537972891434,0.30128537972891434,2,"['leader_persistence_72_3', 'leader_persistence_72_8']",0.82,1.0,0.4,moderate_ensemble_signal
2024-09-27,SOL-USD,0.620076015443762,0.0,0.620076015443762,0.620076015443762,6,"['breadth_positive_24_0_8', 'breadth_positive_24_1_0', 'breadth_positive_288_0_5', 'breadth_positive_288_0_66', 'leader_persistence_288_3', 'leader_persistence_288_8']",1.0,1.0,1.0,strong_ensemble_signal
2024-09-27,BTC-USD,0.30128537972891434,0.0,0.30128537972891434,0.30128537972891434,2,"['leader_persistence_72_3', 'leader_persistence_72_8']",0.82,1.0,0.4,moderate_ensemble_signal
2024-09-28,SOL-USD,0.620076015443762,0.0,0.620076015443762,0.620076015443762,6,"['breadth_positive_24_0_8', 'breadth_positive_24_1_0', 'breadth_positive_288_0_5', 'breadth_positive_288_0_66', 'leader_persistence_288_3', 'leader_persistence_288_8']",1.0,1.0,1.0,strong_ensemble_signal
2024-09-28,BTC-USD,0.30128537972891434,0.0,0.30128537972891434,0.30128537972891434,2,"['leader_persistence_72_3', 'leader_persistence_72_8']",0.82,1.0,0.4,moderate_ensemble_signal
2024-09-29,SOL-USD,0.620076015443762,0.0,0.620076015443762,0.620076015443762,6,"['breadth_positive_24_0_8', 'breadth_positive_24_1_0', 'breadth_positive_288_0_5', 'breadth_positive_288_0_66', 'leader_persistence_288_3', 'leader_persistence_288_8']",1.0,1.0,1.0,strong_ensemble_signal
